# one letter

1;7;aeiou

# two letters

1;5;b;a
1;4;b;e
1;3;b;i
1;2;b;o
1;1;b;u
1;5;c;a
1;4;c;e
1;3;c;i
1;2;c;o
1;1;c;u
1;5;d;a
1;4;d;e
1;3;d;i
1;2;d;o
1;1;d;u
1;5;f;a
1;4;f;e
1;3;f;i
1;2;f;o
1;1;f;u
1;5;g;a
1;4;g;e
1;3;g;i
1;2;g;o
1;1;g;u
1;5;l;a
1;4;l;e
1;3;l;i
1;2;l;o
1;5;l;u
1;5;m;a
1;4;m;e
1;5;m;i
1;2;m;o
1;5;m;u
1;5;n;a
1;4;n;e
1;3;n;i
1;2;n;o
1;5;n;u
1;5;p;a
1;4;p;e
1;3;p;i
1;2;p;o
1;1;p;u
1;5;r;a
1;4;r;e
1;3;r;i
1;2;r;o
1;1;r;u
1;5;s;a
1;4;s;e
1;3;s;i
1;2;s;o
1;1;s;u
1;5;t;a
1;4;t;e
1;3;t;i
1;2;t;o
1;1;t;u
1;5;v;a
1;4;v;e
1;3;v;i
1;2;v;o
1;1;v;u
1;5;z;a
1;4;z;e
1;3;z;i
1;2;z;o
1;1;z;u

# three letters

1;10;aeio;cbdfglmnprstvz;aeiou
1;8;u;cbdfglmnprstvz;aeiou
1;2;b;r;aeiou
1;1;b;l;aeiou
0;1;b;d;aeiou
0;1;b;n;aeiou
0;1;b;s;aeiou
0;5;c;c;aeiou
1;5;c;h;ie
0;1;c;n;aeiuo
1;2;c;r;aeiuo
1;1;c;l;aeiuo
0;2;d;d;aeiou
1;2;d;r;aeiou
1;1;d;l;aeiou
0;5;f;f;aeiou
1;2;f;l;aeiou
1;2;f;r;aeiou
0;1;f;t;aeiou
1;2;g;h;ie
1;2;g;l;aeiou
1;2;g;r;aeiou
1;2;g;n;aeiou
0;2;l;l;aeiou
0;2;l;t;aeiou
0;2;l;d;aeiou
0;2;l;c;aeiou
0;2;l;b;aeiou
0;2;l;f;aeiou
0;2;l;g;aeiou
0;2;l;m;aeiou
0;2;l;p;aeiou
0;2;l;r;aeiou
0;2;l;s;aeiou
0;2;m;m;aeiuo
0;2;n;n;aeiou
0;2;n;z;aeiou
0;1;n;r;aeiou
0;1;n;s;aeiou
0;1;n;v;aeiou
0;1;n;c;aeiou
0;1;n;d;aeiou
0;1;n;f;aeiou
0;1;n;g;aeiou
0;1;n;p;aeiou
0;1;n;t;aeiou
0;2;p;p;aeiou
1;2;p;r;aeiou
1;1;p;l;aeiou
1;1;p;s;aeiou
1;2;q;u;aeio
0;2;r;r;aeiou
0;2;r;b;aeiou
0;2;r;c;aeiou
0;2;r;d;aeiou
0;1;r;f;aeiou
0;1;r;g;aeiou
0;1;r;m;aeiou
0;1;r;n;aeiou
0;2;r;p;aeiou
0;1;r;s;aeiou
0;1;r;t;aeuoi
0;1;r;v;aeuoi
0;2;r;z;aeuoi
1;2;s;b;aeiou
1;2;s;c;aeiou
1;2;s;d;aeiou
1;2;s;f;aeiuo
1;2;s;g;aeiuo
1;1;s;l;aeiuo
1;2;s;m;aeiuo
1;1;s;n;aeiuo
1;2;s;p;aeiuo
1;2;s;t;aeiuo
0;2;s;s;aeiou
1;1;s;v;aeiuo
0;2;t;t;aeiou
1;8;t;r;aeiou
1;8;z;i;aeiou

# four letters

1;5;a;b;bdlnrs;aeiuo
1;5;a;c;clr;aeiuo
0;1;b;b;rl;aeiou
0;1;c;q;u;aeio
0;2;c;c;rl;aeiuo
0;2;d;d;rl;aeiou
0;2;f;f;lr;aeiou
0;1;f;t;r;aeiou
0;2;l;g;h;ie
0;1;l;b;r;aeiou
0;1;l;g;r;aeiou
0;1;l;d;r;aeiou
0;2;l;c;r;aeiou
0;1;l;f;r;aeiou
0;1;l;p;r;aeiou
0;2;m;p;r;aeiou
0;2;m;b;r;aeiou
0;1;n;q;u;aeio
0;2;n;c;r;aeiou
0;2;n;d;r;aeiou
0;1;n;f;r;aeiou
0;2;n;g;r;aeiou
0;1;n;p;r;aeiou
0;1;n;t;r;aeiou
0;2;p;p;r;aeiuo
0;1;p;p;l;aeiuo
0;2;r;t;r;aeiou
1;2;s;q;u;aeoi
1;2;s;b;r;aeiuo
1;2;s;c;r;aeiuo
1;2;s;d;r;aeiuo
1;2;s;f;r;aeiuo
1;2;s;p;r;aeiuo
1;2;s;t;r;aeiuo
0;2;t;t;r;aeiou
